scholar_id,name,gender,affiliation,url_picture,i10index,i10index5y,hindex,hindex5y,citedby,citedby5y,num_publications
f-AxCZsAAAAJ,Tai Fei,M,HELLA GmbH & Co. KGaA,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=f-AxCZsAAAAJ&citpid=5,3,3,6,5,142,123,33
wRXPnP8AAAAJ,Soila Kavulya,F,Intel,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=wRXPnP8AAAAJ&citpid=7,24,15,18,14,1807,688,43
z_vb9hwAAAAJ,Patrícia Ramos,F,"INESC TEC, IPP- ISCAP",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=z_vb9hwAAAAJ&citpid=2,9,2,9,6,423,229,91
AzFbwZ4AAAAJ,Dariusz Rydz,M,Politechnika Częstochowska,,3,0,7,4,168,54,99
836FG3AAAAAJ,Chiara Pelletti,F,The Pennsylvania State University,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=836FG3AAAAAJ&citpid=3,12,7,11,7,331,174,75
G0GqC2sAAAAJ,Mielke Alexander,M,"Head of Research Group ""PDE"" at WIAS, Professor at Humboldt-Universität zu Berlin",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=G0GqC2sAAAAJ&citpid=2,179,108,64,36,12433,4327,349
ajvCoo4AAAAJ,Victor C. M. Leung,M,Shenzhen University / The University of British Columbia,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ajvCoo4AAAAJ&citpid=3,690,470,96,80,41644,27493,1696
enSqIqkAAAAJ,Susana Brás,F,"Researcher, IEETA, Aveiro University",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=enSqIqkAAAAJ&citpid=3,7,5,9,7,259,169,56
uQba_a4AAAAJ,Grzegorz Rozenberg,M,"Professor of Computer Science, Leiden University",,372,116,85,36,57460,8721,1232
E8Z8Z5kAAAAJ,Antti Ilmari Koponen,M,"Principal scientist, VTT Technical Research Centre of Finland",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=E8Z8Z5kAAAAJ&citpid=2,43,30,22,18,2953,1217,155
